06:49:18 node->uv_mutex_init(0x3921920, 0x7ffdb6a07b18, 0x7ffdb6a07b38, 0x386bef8) = 0
06:49:18 node->uv_mutex_lock(0x3923700, 0xde3a370, 0x2f2732a, 0x7f16e4f93a8b) = 0
06:49:18 node->uv_os_getenv(0x2f2732a, 0x7ffdb6a07278, 0x7ffdb6a07238, 0) = 0xfffffffe
06:49:18 node->uv_mutex_unlock(0x3923700, 0x7ffdb6a09510, 24, 73) = 0
06:49:18 node->uv_mutex_lock(0x3923700, 0xde3a370, 0x2f27343, 0x7f16e4f93a8b) = 0
06:49:18 node->uv_os_getenv(0x2f27343, 0x7ffdb6a07278, 0x7ffdb6a07238, 0) = 0xfffffffe
06:49:18 node->uv_mutex_unlock(0x3923700, 0x7ffdb6a09510, 22, 73) = 0
06:49:18 node->uv_mutex_lock(0x3923700, 0xde3a370, 0x2f2735a, 0x7f16e4f93a8b) = 0
06:49:18 node->uv_os_getenv(0x2f2735a, 0x7ffdb6a07278, 0x7ffdb6a07238, 0) = 0xfffffffe
06:49:18 node->uv_mutex_unlock(0x3923700, 0x7ffdb6a09510, 27, 73) = 0
06:49:18 node->uv_mutex_lock(0x3923700, 0xde3a370, 0x2f27376, 0x7f16e4f93a8b) = 0
06:49:18 node->uv_os_getenv(0x2f27376, 0x7ffdb6a07278, 0x7ffdb6a07238, 0) = 0xfffffffe
06:49:18 node->uv_mutex_unlock(0x3923700, 0x7ffdb6a09510, 22, 73) = 0
06:49:18 node->uv_mutex_lock(0x3923700, 0xde3a370, 0x2f1f1ea, 0x7f16e4f93a8b) = 0
06:49:18 node->uv_os_getenv(0x2f1f1ea, 0x7ffdb6a073b8, 0x7ffdb6a07378, 0) = 0xfffffffe
06:49:18 node->uv_mutex_unlock(0x3923700, 0x7ffdb6a09510, 12, 73) = 0
06:49:18 node->uv_mutex_lock(0x39240c0, 0xde7c738, 0xde7c750, 1) = 0
06:49:18 node->uv_mutex_unlock(0x39240c0, 0xde74af0, 1, 0xde3ad70) = 0
06:49:18 node->uv_mutex_lock(0x3923700, 0xde3a370, 0x2f1f211, 0x7f16e4f93a8b) = 0
06:49:18 node->uv_os_getenv(0x2f1f211, 0x7ffdb6a073b8, 0x7ffdb6a07378, 0) = 0xfffffffe
06:49:18 node->uv_mutex_unlock(0x3923700, 0x7ffdb6a09510, 13, 73) = 0
06:49:18 node->uv_mutex_lock(0x3923700, 0xde3a370, 0x2f1f244, 0x7f16e4f93a8b) = 0
06:49:18 node->uv_os_getenv(0x2f1f244, 0x7ffdb6a07568, 0x7ffdb6a07528, 0) = 0xfffffffe
06:49:18 node->uv_mutex_unlock(0x3923700, 0x7ffdb6a07568, 0x2f1f244, 0) = 0
06:49:18 node->uv_mutex_lock(0x3923700, 0xde3a370, 0x2f1f26f, 0x7f16e4f93a8b) = 0
06:49:18 node->uv_os_getenv(0x2f1f26f, 0x7ffdb6a07568, 0x7ffdb6a07528, 0) = 0xfffffffe
06:49:18 node->uv_mutex_unlock(0x3923700, 0x7ffdb6a09510, 19, 73) = 0
06:49:18 node->uv_mutex_init(0xdebafc8, 0, 0, 0xdebb120)    = 0
06:49:18 node->uv_cond_init(0xdebaff0, 0, 0, 0xdebb120)     = 0
06:49:18 node->uv_mutex_init(0xdebb0d0, 0x7ffdb6a076f4, 0, 0xdebb120) = 0
06:49:18 node->uv_loop_init(0xdebabf8, 0, 0, 0xdebb120 <unfinished ...>
06:49:18 libuv.so.1->uv_mutex_init(0xdebb1e8, 0, 0xdebb2c0, 496) = 0
06:49:18 libuv.so.1->uv_once(0x7f16e7d675d8, 0x7f16e7d4fff0, 0x7f16e4e6b040, 255 <unfinished ...>
06:49:18 libuv.so.1->uv_pipe(0x7f16e7d67040, 0, 0, 0)       = 0
06:49:18 <... uv_once resumed> )                            = 0
06:49:18 libuv.so.1->uv_signal_init(0xdebabf8, 0xdebae60, 0x7fffffff, 0x7f16e4f4a106 <unfinished ...>
06:49:18 libuv.so.1->uv_pipe(0xdebae20, 64, 64, 0x7f16e4f4a106) = 0
06:49:18 <... uv_signal_init resumed> )                     = 0
06:49:18 libuv.so.1->uv_rwlock_init(0xdebad28, 0, 16, 0)    = 0
06:49:18 libuv.so.1->uv_mutex_init(0xdebac80, 0x7f16e50609f8, 0, 0) = 0
06:49:18 libuv.so.1->uv_async_init(0xdebabf8, 0xdebaca8, 0x7f16e7d40bc0, 0) = 0
06:49:18 <... uv_loop_init resumed> )                       = 0
06:49:18 node->uv_async_init(0xdebabf8, 0xdebb020, 0xff6f70, 12) = 0
06:49:18 node->uv_unref(0xdebb020, 0xdebb020, 0xdebabf8, 12) = 0xdebabf8
06:49:18 node->uv_mutex_init(0xde8fc18, 4, 0xde8f9c0, 0)    = 0
06:49:18 node->uv_mutex_init(0xdebb3e0, 4, 0, 0xdebb3d0)    = 0
06:49:18 node->uv_cond_init(0xdebb408, 0, 0, 0xdebb3d0)     = 0
06:49:18 node->uv_cond_init(0xdebb438, 0x7ffdb6a075b4, 0, 0xdebb3d0) = 0
06:49:18 node->uv_mutex_init(0x7ffdb6a07660, 0xde8dd50, 0xde8acf0, 0xde8aef0) = 0
06:49:18 node->uv_cond_init(0x7ffdb6a07690, 0, 0, 0xde8aef0) = 0
06:49:18 node->uv_mutex_lock(0x7ffdb6a07660, 0x7ffdb6a075d4, 0, 0xde8aef0) = 0
06:49:18 node->uv_mutex_init(0xdebb518, 1296, 0, 0xdebb4f0) = 0
06:49:18 node->uv_cond_init(0xdebb540, 0, 0, 0xdebb4f0)     = 0
06:49:18 node->uv_cond_init(0xdebb570, 0x7ffdb6a075b4, 0, 0xdebb4f0) = 0
06:49:18 node->uv_sem_init(0xdebb4f0, 0, 0, 0xdebba60 <unfinished ...>
06:49:18 libuv.so.1->uv_once(0x7f16e7d675e0, 0x7f16e7d52b40, 0, 0xdebba60) = 0
06:49:18 <... uv_sem_init resumed> )                        = 0
06:49:18 node->uv_thread_create(0xdebba60, 0xf0f1e0, 0xdebb4f0, 0xdebba60 <unfinished ...>
06:49:18 libuv.so.1->uv_thread_create_ex(0xdebba60, 0x7ffdb6a075d0, 0xf0f1e0, 0xdebb4f0) = 0
06:49:18 <... uv_thread_create resumed> )                   = 0
06:49:18 node->uv_sem_wait(0xdebb4f0, 0x7ffdb6a07478, 0xdebb4f0, 0x7f16e4f458e5) = 0
06:49:18 node->uv_sem_destroy(0xdebb4f0, 0, 0, 0x440801)    = 0
06:49:18 node->uv_thread_create(0xdebbc10, 0xf09b80, 0xdebbbe0, 0x7f16e5095ac0 <unfinished ...>
06:49:18 libuv.so.1->uv_thread_create_ex(0xdebbc10, 0x7ffdb6a075d0, 0xf09b80, 0xdebbbe0) = 0
06:49:18 <... uv_thread_create resumed> )                   = 0
06:49:18 node->uv_thread_create(0xdebbbc0, 0xf09b80, 0xdebbd90, 0 <unfinished ...>
06:49:18 libuv.so.1->uv_thread_create_ex(0xdebbbc0, 0x7ffdb6a075d0, 0xf09b80, 0xdebbd90) = 0
06:49:18 <... uv_thread_create resumed> )                   = 0
06:49:18 node->uv_thread_create(0xdebbd70, 0xf09b80, 0xdebbf30, 0 <unfinished ...>
06:49:18 libuv.so.1->uv_thread_create_ex(0xdebbd70, 0x7ffdb6a075d0, 0xf09b80, 0xdebbf30) = 0
06:49:18 <... uv_thread_create resumed> )                   = 0
06:49:18 node->uv_thread_create(0xdebc0d0, 0xf09b80, 0xdebc0a0, 0x7f16e5095ac0 <unfinished ...>
06:49:18 libuv.so.1->uv_thread_create_ex(0xdebc0d0, 0x7ffdb6a075d0, 0xf09b80, 0xdebc0a0) = 0
06:49:18 <... uv_thread_create resumed> )                   = 0
06:49:18 node->uv_cond_wait(0x7ffdb6a07690, 0x7ffdb6a07660, 4, 49) = 0
06:49:18 node->uv_cond_wait(0x7ffdb6a07690, 0x7ffdb6a07660, 0, 0x7f16e4f41eaf) = 0
06:49:18 node->uv_cond_wait(0x7ffdb6a07690, 0x7ffdb6a07660, 0, 0x7f16e4f41eaf) = 0
06:49:18 node->uv_cond_wait(0x7ffdb6a07690, 0x7ffdb6a07660, 0, 0x7f16e4f41eaf) = 0
06:49:18 node->uv_mutex_unlock(0x7ffdb6a07660, 128, 0, 0x7f16e4f41eaf) = 0
06:49:18 node->uv_cond_destroy(0x7ffdb6a07690, 129, 1, 0x7f16e4f41f17) = 0
06:49:18 node->uv_mutex_destroy(0x7ffdb6a07660, 128, 2, 6)  = 0
06:49:18 node->uv_hrtime(0, 0x7ffdb6a075f0, 0x3932bf8, 0x7f16e4ef7003) = 0x79745f976
06:49:18 node->uv_default_loop(5, 0xde53e90, 0xde53, 113 <unfinished ...>
06:49:18 libuv.so.1->uv_loop_init(0x7f16e7d67260, 0xde53e90, 0xde53, 113 <unfinished ...>
06:49:18 libuv.so.1->uv_mutex_init(0xdec56e8, 0, 0xdec57c0, 496) = 0
06:49:18 libuv.so.1->uv_once(0x7f16e7d675d8, 0x7f16e7d4fff0, 0x7f16e45d8040, 255) = 0
06:49:18 libuv.so.1->uv_signal_init(0x7f16e7d67260, 0x7f16e7d674c8, 0x7f16e45d8040, 255 <unfinished ...>
06:49:18 libuv.so.1->uv_pipe(0x7f16e7d67488, 64, 64, 255)   = 0
06:49:18 <... uv_signal_init resumed> )                     = 0
06:49:18 libuv.so.1->uv_rwlock_init(0x7f16e7d67390, 0, 16, 0) = 0
06:49:18 libuv.so.1->uv_mutex_init(0x7f16e7d672e8, 0x7f16e50609f8, 0, 0) = 0
06:49:18 libuv.so.1->uv_async_init(0x7f16e7d67260, 0x7f16e7d67310, 0x7f16e7d40bc0, 0) = 0
06:49:18 <... uv_loop_init resumed> )                       = 0
06:49:18 <... uv_default_loop resumed> )                    = 0x7f16e7d67260
06:49:18 node->uv_loop_configure(0x7f16e7d67260, 1, 4, 12)  = 0
06:49:18 node->uv_default_loop(0x3917f00, 0x3924090, 0, 12) = 0x7f16e7d67260
06:49:18 node->uv_mutex_lock(0xde8fc18, 0xdec6000, 0x7f16e7d67260, 32) = 0
06:49:18 node->uv_mutex_init(0xdeda6e8, 0xdec6000, 0x38a6648, 0x7f16e5095ac0) = 0
06:49:18 node->uv_cond_init(0xdeda710, 0, 0, 0x7f16e5095ac0) = 0
06:49:18 node->uv_cond_init(0xdeda740, 0x7ffdb6a07714, 0, 0x7f16e5095ac0) = 0
06:49:18 node->uv_mutex_init(0xdeda7c8, 0, 0xdeda460, 0xdeda660) = 0
06:49:18 node->uv_cond_init(0xdeda7f0, 0, 0, 0xdeda660)     = 0
06:49:18 node->uv_cond_init(0xdeda820, 0x7ffdb6a07734, 0, 0xdeda660) = 0
06:49:18 node->uv_async_init(0x7f16e7d67260, 0xdeda2c0, 0xf0d420, 0) = 0
06:49:18 node->uv_unref(0xdeda2c0, 0xdeda2c0, 0x7f16e7d67260, 12) = 0x7f16e7d67260
06:49:18 node->uv_mutex_unlock(0xde8fc18, 1, 1, 0xdedab90)  = 0
06:49:18 node->uv_get_constrained_memory(0xdec5980, 0, 0, 0xdedab90) = -1
06:49:18 node->uv_get_total_memory(0x7ffdb6a05ca0, 109, 0, 0) = 0x3c810000
06:49:18 node->uv_hrtime(0xde8fc10, 0x7ffdb6a076c0, 0x7ffdb6a076e0, 0x7ffdb6a07700) = 0x7978678b3
06:49:18 node->uv_mutex_lock(0xde8fc18, 0xdec6000, 0xdec6000, 0xf0e210) = 0
06:49:18 node->uv_mutex_unlock(0xde8fc18, 0xdeda678, 0x100000001, 0x200000002) = 0
06:49:18 node->uv_mutex_lock(0xde8fc18, 0xdec6000, 0xdec6000, 0xf0e210) = 0
06:49:18 node->uv_mutex_unlock(0xde8fc18, 0xdeda678, 0x100000001, 0x200000007) = 0
06:49:18 node->uv_mutex_lock(0xde8fc18, 0xdec6000, 0xdec6000, 0xf0e210) = 0
06:49:18 node->uv_mutex_unlock(0xde8fc18, 0xdeda678, 0x100000001, 0x200000008) = 0
06:49:18 node->uv_mutex_lock(0x39240c0, 0xe7c060, 0, 0)     = 0
06:49:18 node->uv_mutex_unlock(0x39240c0, 0xdf3c070, 0xdf333ec, 49) = 0
06:49:18 node->uv_mutex_lock(0x3922e60, 8, 0, 0)            = 0
06:49:18 node->uv_mutex_unlock(0x3922e60, 1, 10, 0xdf6d540) = 0
06:49:18 node->uv_now(0x7f16e7d67260, 13, 0xdf3e5a8, 0xdf6f2b0) = 0x7f59
06:49:18 node->uv_exepath(0x7ffdb6a055b0, 0x7ffdb6a05588, 2, 0x7f16e5095a63) = 0
06:49:18 node->uv_hrtime(0xdf6edd0, 0xdec6000, 4, 0x3917fc8) = 0x798148a63
06:49:18 node->uv_mutex_init(0xdf6ef60, 32, 0, 23)          = 0
06:49:18 node->uv_mutex_init(0xdf6efb8, 0, 0, 23)           = 0
06:49:18 node->uv_rwlock_init(0xdf6f4d0, 120, 0, 0x7f16e5095ac0) = 0
06:49:18 node->uv_rwlock_init(0xdf6f550, 136, 0, 0)         = 0
06:49:18 node->uv_rwlock_destroy(0xdf6f4d0, 0x7f16e50609f8, 0x100000001, 0xdf6f4c8) = 0
06:49:18 node->uv_rwlock_wrlock(0xdf6f550, 0x3918028, 321, 0x3917ea0) = 0
06:49:18 node->uv_rwlock_wrunlock(0xdf6f550, 0xdf6f5d0, 227, 0xdf6ffa0) = 0
06:49:18 node->uv_mutex_lock(0x3923700, 0xde3a370, 0x2f1ba21, 0x7f16e4f93a8b) = 0
06:49:18 node->uv_os_getenv(0x2f1ba21, 0x7ffdb6a073b8, 0x7ffdb6a07378, 0) = 0xfffffffe
06:49:18 node->uv_mutex_unlock(0x3923700, 0x7ffdb6a09510, 17, 73) = 0
06:49:18 node->uv_mutex_init(0xdf7a4b0, 0x7f16e5095f90, 0, 0xdf7a4a0) = 0
06:49:18 node->uv_os_getpid(0x7ffdb6a073e0, 0xdf43290, 0, 0x7f16e5095ac0) = 945
06:49:18 node->uv_get_process_title(0xdf432f0, 16, 0, 0x7f16e5095ac0 <unfinished ...>
06:49:18 libuv.so.1->uv_once(0x7f16e7d676a8, 0x7f16e7d5a160, 0, 0x7f16e5095ac0 <unfinished ...>
06:49:18 libuv.so.1->uv_mutex_init(0x7f16e7d676c0, 0x7f16e4f4a140, 0x7ffdb6a07120, 0x7f16e5095ac0) = 0
06:49:18 <... uv_once resumed> )                            = 0
06:49:18 libuv.so.1->uv_mutex_lock(0x7f16e7d676c0, 129, 0x7fffffff, 0x7f16e4f4a106) = 0
06:49:18 libuv.so.1->uv_mutex_unlock(0x7f16e7d676c0, 0x65646f6e, 5, 0x65646f) = 0
06:49:18 <... uv_get_process_title resumed> )               = 0
06:49:18 node->uv_mutex_lock(0x3924e60, 0xdf59f80, 0xdf54069, 65) = 0
06:49:18 node->uv_async_init(0x7f16e7d67260, 0x3924ea0, 0x1011790, 0) = 0
06:49:18 node->uv_unref(0x3924ea0, 0x3924ea0, 0x7f16e7d67260, 12) = 0x7f16e7d67260
06:49:18 node->uv_sem_init(0x3924f20, 0, 4, 12 <unfinished ...>
06:49:18 libuv.so.1->uv_once(0x7f16e7d675e0, 0x7f16e7d52b40, 4, 12) = 0
06:49:18 <... uv_sem_init resumed> )                        = 0
06:49:18 node->uv_mutex_unlock(0x3924e60, 0, 11, 0xdf43848) = 0
06:49:18 node->uv_mutex_lock(0x3923700, 0xde3a370, 0x2f3064d, 0x7f16e5095ac0) = 0
06:49:18 node->uv_os_getenv(0x2f3064d, 0x7ffdb6a07398, 0x7ffdb6a07358, 0) = 0xfffffffe
06:49:18 node->uv_mutex_unlock(0x3923700, 0x7ffdb6a09510, 16, 73) = 0
06:49:18 node->uv_once(0x3925048, 0x1099510, 0xded4b08, 0x7ffdb6a07818 <unfinished ...>
06:49:18 node->uv_mutex_lock(0x39240c0, 0x7f16e4f4a140, 0x7ffdb6a07740, 0x7ffdb6a07818) = 0
06:49:18 node->uv_mutex_lock(0x3925020, 0, 1, 0)            = 0
06:49:18 node->uv_mutex_unlock(0x3925020, 0x7600, 0, 0x764e) = 0
06:49:18 node->uv_mutex_unlock(0x39240c0, 0, 0, 0x764e)     = 0
06:49:18 <... uv_once resumed> )                            = 0
06:49:18 node->uv_timer_init(0x7f16e7d67260, 0xdf6e680, 8, 0x7f16e4f4a106) = 0
06:49:18 node->uv_unref(0xdf6e680, 0xdf6e680, 0x3924ec0, 0x7f16e4f4a106) = 8
06:49:18 node->uv_check_init(0x7f16e7d67260, 0xdf6e718, 0, 0x7f16e4f4a106) = 0
06:49:18 node->uv_unref(0xdf6e718, 0xdf6e718, 0xdf6e6a0, 0x7f16e4f4a106) = 8
06:49:18 node->uv_idle_init(0x7f16e7d67260, 0xdf6e790, 0, 0x7f16e4f4a106) = 0
06:49:18 node->uv_check_start(0xdf6e718, 0xdd7650, 0xdf6e738, 0x7f16e4f4a106) = 0
06:49:18 node->uv_prepare_init(0x7f16e7d67260, 0xdf6e808, 4, 0x7f16e7d673f0) = 0
06:49:18 node->uv_check_init(0x7f16e7d67260, 0xdf6e880, 0xdf6e7b0, 0x7f16e7d673f0) = 0
06:49:18 node->uv_async_init(0x7f16e7d67260, 0xdf6e8f8, 0xdd75c0, 0x7f16e7d673f0) = 0
06:49:18 node->uv_unref(0xdf6e808, 0xdf6e8f8, 0x7f16e7d67260, 12) = 8
06:49:18 node->uv_unref(0xdf6e880, 0xdf6e8f8, 0, 12)        = 8
06:49:18 node->uv_unref(0xdf6e8f8, 0xdf6e8f8, 0, 12)        = 0x7f16e7d67260
06:49:18 node->uv_mutex_lock(0xdf6efb8, 0xdf6e8f8, 4, 12)   = 0
06:49:18 node->uv_mutex_unlock(0xdf6efb8, 0, 1, 0)          = 0
06:49:18 node->uv_prepare_start(0xdf6e808, 0xdb3f50, 0, 0x7f16e5095ac0) = 0
06:49:18 node->uv_check_start(0xdf6e880, 0xdb3f40, 4, 0x7f16e7d673e0) = 0
06:49:18 node->uv_mutex_lock(0x3923700, 0xde3a370, 0x2f1da5d, 0x7f16e4f93a8b) = 0
06:49:18 node->uv_os_getenv(0x2f1da5d, 0x7ffdb6a074a8, 0x7ffdb6a07468, 0) = 0xfffffffe
06:49:18 node->uv_mutex_unlock(0x3923700, 0x7ffdb6a09510, 18, 73) = 0
06:49:18 node->uv_rwlock_rdlock(0xde70dd0, 0xdec6000, 0x2f1f382, 0x7ffdb6a07390) = 0
06:49:18 node->uv_rwlock_rdunlock(0xde70dd0, 0xde909a0, 0xdf319e8, 1185) = 0
06:49:18 node->uv_rwlock_wrlock(0xdf6f550, 0xdf45d10, 34, 0x7ffffffffffffffd) = 0
06:49:18 node->uv_rwlock_wrunlock(0xdf6f550, 0xdf45d30, 0xdf45, 49) = 0
06:49:18 node->uv_os_getpid(0xdec6000, 0xdf33980, 0, 0xfffffffe) = 945
06:49:18 node->uv_mutex_lock(0x39240c0, 0x2bc3df501231, 0x38a2db8, 0) = 0
06:49:18 node->uv_mutex_unlock(0x39240c0, 0x7f16e5095c50, 0x100000003, 0xde3ad78) = 0
06:49:18 node->uv_mutex_lock(0x3923700, 0xde3a370, 0x7ffdb6a06628, 17) = 0
06:49:18 node->uv_os_getenv(0x7ffdb6a06628, 0x7ffdb6a06478, 0x7ffdb6a06438, 0) = 0xfffffffe
06:49:18 node->uv_mutex_unlock(0x3923700, 0x7ffdb6a09510, 16, 73) = 0
06:49:18 node->uv_mutex_lock(0x3923700, 0xde3a370, 0x7ffdb6a06638, 17) = 0
06:49:18 node->uv_os_getenv(0x7ffdb6a06638, 0x7ffdb6a06488, 0x7ffdb6a06448, 0) = 0xfffffffe
06:49:18 node->uv_mutex_unlock(0x3923700, 0x7ffdb6a09510, 16, 73) = 0
06:49:18 node->uv_mutex_lock(0x3923700, 0xde3a370, 0x7ffdb6a06638, 11) = 0
06:49:18 node->uv_os_getenv(0x7ffdb6a06638, 0x7ffdb6a06488, 0x7ffdb6a06448, 0) = 0xfffffffe
06:49:18 node->uv_mutex_unlock(0x3923700, 0x7ffdb6a09510, 10, 73) = 0
06:49:18 node->uv_mutex_lock(0x3923700, 0xde3a370, 0x7ffdb6a06628, 16) = 0
06:49:18 node->uv_os_getenv(0x7ffdb6a06628, 0x7ffdb6a06478, 0x7ffdb6a06438, 0) = 0xfffffffe
06:49:18 node->uv_mutex_unlock(0x3923700, 0x7ffdb6a09510, 15, 73) = 0
06:49:18 node->uv_mutex_lock(0x3923700, 0xde3a370, 0x7ffdb6a06638, 15) = 0
06:49:18 node->uv_os_getenv(0x7ffdb6a06638, 0x7ffdb6a06488, 0x7ffdb6a06448, 0) = 0xfffffffe
06:49:18 node->uv_mutex_unlock(0x3923700, 0x7ffdb6a09510, 14, 73) = 0
06:49:18 node->uv_mutex_lock(0x3923700, 0xde3a370, 0x7ffdb6a06878, 0x7f16e4f93a8b) = 0
06:49:18 node->uv_os_getenv(0x7ffdb6a06878, 0x7ffdb6a06648, 0x7ffdb6a06608, 0) = 0
06:49:18 node->uv_mutex_unlock(0x3923700, 6, 0x7ffdb6a067c8, 0x746f6f72) = 0
06:49:18 node->uv_mutex_lock(0x3923700, 0xde3a370, 0x7ffdb6a06878, 0x7f16e4f93a8b) = 0
06:49:18 node->uv_os_getenv(0x7ffdb6a06878, 0x7ffdb6a06648, 0x7ffdb6a06608, 0) = 0xfffffffe
06:49:18 node->uv_mutex_unlock(0x3923700, 0x7ffdb6a09510, 9, 73) = 0
06:49:18 node->uv_hrtime(0xdf31a00, 0x2bc3df501231, 0, 0x2f8177c) = 0x7998e5e8c
06:49:18 node->uv_fs_req_cleanup(0x7ffdb6a066c0, 0x2d0662dc, 0x7ffdb6a06730, 0) = 0x7ffdb6a06730
06:49:18 node->uv_fs_req_cleanup(0x7ffdb6a06540, 0x2bc3df51aae1, 0x7ffdb6a06be0, 0x7ffdb6a065b0) = 0x7ffdb6a065b0
06:49:18 node->uv_fs_req_cleanup(0x7ffdb6a06540, 0x2bc3df51aae1, 0x7ffdb6a06be0, 0x7ffdb6a065b0) = 0x7ffdb6a065b0
06:49:18 node->uv_fs_req_cleanup(0x7ffdb6a06540, 0x2bc3df51ac41, 0x7ffdb6a06be0, 0) = 0x7ffdb6a065b0
06:49:18 node->uv_fs_readlink(0, 0x7ffdb6a06550, 0x7ffdb6a06748, 0) = 0
06:49:18 node->uv_fs_req_cleanup(0x7ffdb6a06550, 0xdf46600, 0x1009e9b5aa39, 0x7ffffffffffffffd) = 1
06:49:18 node->uv_mutex_lock(0xdebb3e0, 0x7ffdb6a06790, 0x7ffdb6a067b8, 0x7ffdb6a067c0) = 0
06:49:18 node->uv_cond_signal(0xdebb408, 0, 0xde8aee8, 0xde8aef0) = 0
06:49:18 node->uv_mutex_unlock(0xdebb3e0, 129, 1, 0x7f16e4f43d7f) = 0
06:49:18 node->uv_fs_req_cleanup(0x7ffdb6a06540, 0x2bc3df51aae1, 0x7ffdb6a06be0, 0x7ffdb6a065b0) = 0x7ffdb6a065b0
06:49:18 node->uv_fs_req_cleanup(0x7ffdb6a06540, 0x2bc3df51aae1, 0x7ffdb6a06be0, 0x7ffdb6a065b0) = 0x7ffdb6a065b0
06:49:18 node->uv_fs_req_cleanup(0x7ffdb6a06540, 0x2bc3df51aae1, 0x7ffdb6a06be0, 0x7ffdb6a065b0) = 0x7ffdb6a065b0
06:49:18 node->uv_fs_req_cleanup(0x7ffdb6a06540, 0x2bc3df51aae1, 0x7ffdb6a06be0, 0x7ffdb6a065b0) = 0x7ffdb6a065b0
06:49:18 node->uv_fs_req_cleanup(0x7ffdb6a06540, 0x2bc3df51ac41, 0x7ffdb6a06be0, 0) = 0x7ffdb6a065b0
06:49:18 node->uv_fs_readlink(0, 0x7ffdb6a06550, 0x7ffdb6a06748, 0) = 0
06:49:18 node->uv_fs_req_cleanup(0x7ffdb6a06550, 0xdf9ef10, 0x1009e9b5b509, 0x7ffffffffffffffd) = 1
06:49:18 node->uv_fs_req_cleanup(0x7ffdb6a06540, 0x2bc3df51aae1, 0x7ffdb6a06be0, 0x7ffdb6a065b0) = 0x7ffdb6a065b0
06:49:18 node->uv_fs_req_cleanup(0x7ffdb6a06540, 0x2bc3df51aae1, 0x7ffdb6a06be0, 0x7ffdb6a065b0) = 0x7ffdb6a065b0
